feature,importance
std,0.055001988527458585
slope_full,0.042477695574981406
range,0.028206599998929445
month_lag_00,0.020749879158467228
longest_missing_run,0.0180990056565045
low_months,0.01693964160395849
yoy_prev_12m,0.016923003882827494
missing_ratio_last_third,0.01689752361084813
slope_full_rel,0.01673858765220253
last30_vs_mean,0.015698012365330045
q10_rel,0.015397256047781315
missing_ratio_first_third,0.014926217747636784
monthly_min_rel,0.014545369154458912
max,0.014080608849832388
month_lag_06,0.013354265698044928
last_obs_frac,0.012995871111729786
first_obs_frac,0.012836027004068776
sudden_drop_rate,0.012596282850144894
first180_vs_mean,0.012589727289794284
missing_ratio,0.012490222542976182
missing_ratio_middle_third,0.01186395543649723
zero_ratio,0.011731968418120013
month_lag_26,0.011562393372492688
month_lag_18,0.011341246062353226
month_lag_30,0.011333127515566596
autocorr_lag1,0.0112823142875708
q90_rel,0.011225735076855002
mean,0.011204115561026216
missing_sequences_count,0.011146514121250539
month_lag_03,0.010922068370770237
month_lag_17,0.010667386018897515
month_lag_24,0.010552111277900827
month_lag_29,0.010529665355450697
first90_vs_mean,0.010357421555397275
zero_day_count,0.010337879733606711
yoy_last_12m,0.010227742187683351
sudden_drop_count,0.01019466436439603
month_lag_32,0.010171534859947158
month_lag_31,0.010024256624270896
month_lag_04,0.009863825947562346
month_lag_16,0.00981843556388508
month_lag_23,0.009760788312438002
month_lag_15,0.009734829263579098
month_lag_01,0.009547402038394631
kurtosis,0.009430656832572793
month_lag_25,0.00930661948658567
coef_var,0.009271521458416391
month_lag_27,0.009235663495462704
skewness,0.009203653712906662
month_lag_28,0.009132321347463758
changepoint_pos,0.009076567645101235
month_lag_08,0.008974421990167103
month_lag_19,0.008963476593774642
monthly_drop_count,0.00887537176699074
month_lag_14,0.008875306193421873
last90_vs_mean,0.008702001538781704
first30_vs_mean,0.00862077744538855
month_lag_22,0.008601047885572052
slope_last_180d,0.008582466312344769
month_lag_11,0.008542667647382568
month_lag_33,0.008514155720678165
diff_abs_mean_rel,0.00850545240138013
max_monthly_drop,0.008494720792787538
month_lag_20,0.008450860159627822
autocorr_lag7,0.008429097819176433
monthly_cv,0.008428797797642164
weekday_vs_weekend_ratio,0.008342257753830414
month_lag_12,0.008338250579984966
last180_vs_mean,0.00831439527493822
slope_last_90d,0.00827376391547821
month_lag_05,0.008267463463258537
month_lag_10,0.008229558347380891
month_lag_21,0.008215419608011391
monthly_max_rel,0.008198270772350457
longest_zero_run,0.008179995508533908
month_lag_09,0.008173683378829368
month_lag_02,0.00806866057127767
q75_rel,0.008014368351059632
q25_rel,0.008012913156791614
median,0.007924426566079374
month_lag_07,0.00788817336517635
min,0.007781100709896492
peak_day_ratio,0.007687356556189992
month_lag_13,0.00759181496808207
changepoint_min_ratio,0.007305437676610674
trend_direction_changes,0.007150130720954451
slope_last_30d,0.006879765057771576
